,birth_year,constituency,designation,m_appts,name,office_appts,party,select_appts,salutation,year
10,1953-01-01,Punggol East,Deputy Speaker,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Charles Chong,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1953.0
11,1966-01-01,Bishan-Toa Payoh GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Chong Kee Hiong,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1966.0
12,1978-01-01,Tampines GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Desmond Choo,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1978.0
13,1970-01-01,Ang Mo Kio GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Darryl David,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1970.0
14,1976-01-01,Holland-Bukit Timah GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Christopher De Souza,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1976.0
15,1968-01-01,,Nominated Member of Parliament,,Arasu Duraisamy,,nan,,Mr,1968.0
16,1966-01-01,Marine Parade GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Fatimah Lateef,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Prof,1966.0
17,1960-01-01,Pioneer,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Cedric Foo Chee Keng,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1960.0
18,1969-01-01,,Nominated Member of Parliament,,Douglas Foo,,nan,,Mr,1969.0
19,1966-01-01,West Coast GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Foo Mee Har,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Ms,1966.0
20,1964-01-01,Yuhua,"Minister for Culture, Community and Youth &","{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Grace Fu Hai Yien,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Ms,1964.0
21,1959-01-01,Chua Chu Kang GRC,Minister for Health,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Gan Kim Yong,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1959.0
22,1963-01-01,Ang Mo Kio GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Gan Thiam Poh,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1963.0
23,1941-01-01,Marine Parade GRC,"Emeritus Senior Minister, Member of Parliament","{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Goh Chok Tong,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1941.0
24,,,Non-Constituency Member of Parliament,,Daniel Goh Pei Siong,,Workers' Party,,Assoc Prof,
25,1961-01-01,Jalan Besar GRC,"Senior Minister of State, Ministry of Defence","{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Heng Chee How,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1961.0
26,1961-01-01,Tampines GRC,Deputy Prime Minister and Minister for Finance,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Heng Swee Keat,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1961.0
27,1969-01-01,,Nominated Member of Parliament,,Terence Ho Wee San,,nan,,Mr,1969.0
28,1963-01-01,Tanjong Pagar GRC,"Minister, Prime Minister's Office, Second Minister for Finance and Second Minister for Education","{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Indranee Rajah,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Ms,1963.0
29,1976-01-01,Ang Mo Kio GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Intan Azura Mokhtar,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Dr,1976.0
30,1962-01-01,West Coast GRC,Minister for Communications and Information & Minister-in-charge of Trade Relations,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",S Iswaran,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1962.0
31,1972-01-01,Pasir Ris-Punggol GRC,"Senior Minister of State, Ministry of Transport & Ministry of Communications and Information","{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Janil Puthucheary,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Dr,1972.0
32,1952-01-01,Sembawang GRC,Coordinating Minister for Infrastructure & Minister for Transport,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Khaw Boon Wan,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1952.0
33,1958-01-01,Hong Kah North,"Senior Minister of State, Ministry of the Environment and Water Resources & Ministry of Health","{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Amy Khor Lean Suan,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Dr,1958.0
34,1972-01-01,Ang Mo Kio GRC,"Senior Minister of State, Ministry of Trade and Industry","{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Koh Poh Koon,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Dr,1972.0
35,,Nee Soon GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Kwek Hian Chuan Henry,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,
36,1969-01-01,Sengkang West,"Senior Minister of State, Ministry of Transport & Ministry of Health","{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Lam Pin Min,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Dr,1969.0
