,Name,Party,GE,Constituency,Margin,election_type,election_year
22,ABDUL RAHIM bin Ishak[25 Jul 1925 - 18 Jan 2001],People's Action Party,GE 1980,Siglap,77.9%,GE,1980
23,ABDUL RAHIM bin Osman,Workers' Party,GE 1997,Cheng San GRC,45.2%,GE,1997
24,ABDUL RAHIM bin Osman,Singapore Democratic Alliance,GE 2001,Tampines GRC,26.7%,GE,2001
25,ABDUL RAHMAN bin Mohamed Zin,Pertubuhan Kebangsaan Melayu Singapura,GE 1972,Kampong Ubi,35.9%,GE,1972
26,ABDUL RAHMAN bin Mohamed Zin,Pertubuhan Kebangsaan Melayu Singapura,GE 1980,Bedok,18.0%,GE,1980
27,ABDUL RAHMAN bin Mohamed Zin,Pertubuhan Kebangsaan Melayu Singapura,GE 1984,Kampong Ubi,36.3%,GE,1984
28,ABDUL RAHMAN bin Mohamad,Singapore Democratic Alliance,GE 2006,Tampines GRC,31.5%,GE,2006
29,ABDUL RAHMAN bin Mohamed Said,United Malays National Organisation,GE 1959,Changi,28.4%,GE,1959
30,ABDUL RAHMAN bin Mohamed Said,Singapore Alliance,GE 1963,Telok Blangah,21.1%,GE,1963
31,ABDUL RASHEED Y. Abdul Kuthus,Singapore Democratic Party,GE 1988,Punggol,40.1%,GE,1988
32,ABDUL RASHEED Y. Abdul Kuthus,National Solidarity Party,GE 2011,Jurong GRC,33.0%,GE,2011
33,ABDUL RASHEED Y. Abdul Kuthus,National Solidarity Party,GE 2015,Sembawang GRC,27.7%,GE,2015
34,ABDUL SALIM bin Harun,Workers' Party,GE 2006,Ang Mo Kio GRC,33.9%,GE,2006
35,ABDUL SALIM bin Harun,National Solidarity Party,GE 2011,Marine Parade GRC,43.4%,GE,2011
36,ABDULLAH bin Masood,Independent,GE 1959,Siglap,9.9%,GE,1959
37,ABDULLAH bin Masood,United People's Party,GE 1963,Changi,8.3%,GE,1963
38,ABDULLAH bin Tarmugi,People's Action Party,GE 1984,Siglap,Uncontested,GE,1984
39,ABDULLAH bin Tarmugi,People's Action Party,GE 1988,Siglap,73.7%,GE,1988
40,ABDULLAH bin Tarmugi,People's Action Party,GE 1991,Bedok GRC,62.0%,GE,1991
41,ABDULLAH bin Tarmugi,People's Action Party,GE 1997,East Coast GRC,Uncontested,GE,1997
42,ABDULLAH bin Tarmugi,People's Action Party,GE 2001,East Coast GRC,Uncontested,GE,2001
43,ABDULLAH bin Tarmugi,People's Action Party,GE 2006,East Coast GRC,63.9%,GE,2006
44,"ABDULLAH, Valiya Purayil",Independent,GE 1948,Municipal North-East,8.6%,GE,1948
45,"ABDULLAH, Valiya Purayil",Labour Party,GE 1951,Bukit Timah,42.9%,GE,1951
46,ABU bin Mohamed,Singapore Democratic Alliance,GE 2015,Pasir Ris-Punggol GRC,27.1%,GE,2015
47,AHMAD bin Haji Taff,United Malays National Organisation,GE 1959,Tanglin,30.4%,GE,1959
48,AHMAD bin Haji Taff,Singapore Alliance,GE 1963,Geylang Serai,35.8%,GE,1963
49,AHMAD bin Haji Taff,Pertubuhan Kebangsaan Melayu Singapura,GE 1972,Geylang Serai,39.8%,GE,1972
50,AHMAD bin Ibrahim[1927 - 21 Aug 1962],Independent,GE 1955,Sembawang,63.2%,GE,1955
51,AHMAD bin Ibrahim[1927 - 21 Aug 1962],People's Action Party,GE 1959,Sembawang,54.7%,GE,1959
52,AHMAD bin Ismail,Labour Front,CC 1957,Bukit Merah,28.4%,CC,1957
53,AHMAD bin Mohamed Mattar,People's Action Party,GE 1972,Leng Kee,68.3%,GE,1972
54,AHMAD bin Mohamed Mattar,People's Action Party,GE 1976,Brickworks,74.0%,GE,1976
55,AHMAD bin Mohamed Mattar,People's Action Party,GE 1980,Brickworks,Uncontested,GE,1980
56,AHMAD bin Mohamed Mattar,People's Action Party,GE 1984,Brickworks,66.3%,GE,1984
57,AHMAD bin Mohamed Mattar,People's Action Party,GE 1988,Brickworks GRC,67.4%,GE,1988
58,AHMAD bin Mohamed Mattar,People's Action Party,GE 1991,Brickworks GRC,Uncontested,GE,1991
59,AHMAD bin Mohamed Ibrahim,Independent,MC Apr 1949,Rochore,17.0%,MC Apr,1949
60,AHMAD bin Mohamed Magad,People's Action Party,GE 1997,Pasir Ris GRC,70.9%,GE,1997
61,AHMAD bin Mohamed Magad,People's Action Party,GE 2001,Pasir Ris-Punggol GRC,Uncontested,GE,2001
62,AHMAD bin Mohamed Magad,People's Action Party,GE 2006,Pasir Ris-Punggol GRC,68.7%,GE,2006
63,AHMAD bin Mohamed Yatim,Labour Front,CC 1957,Pasir Panjang,41.3%,CC,1957
64,AHMAD bin Rahmat,Singapore Alliance,GE 1963,Pasir Panjang,21.3%,GE,1963
65,AHMAD JABRI bin Mohammad Akib,United Malays National Organisation,GE 1959,Southern Islands,53.7%,GE,1959
66,AHMAD JABRI bin Mohammad Akib,Singapore Alliance,GE 1963,Southern Islands,44.6%,GE,1963
67,AHMAD KHALIS bin Abdul Ghani,People's Action Party,GE 2001,Hong Kah GRC,79.7%,GE,2001
68,AHMAN bin Haji Subri,Malay Union,GE 1959,Jurong,2.6%,GE,1959
69,"ALEXANDER, T. T. K.",Malayan Indian Congress,GE 1959,Bukit Panjang,5.0%,GE,1959
70,"AL-JUNIED, Syed Hassan",Progressive Party,MC Apr 1949,East,24.3%,MC Apr,1949
71,"AL-JUNIED, Syed Hassan",Progressive Party,MC Dec 1949,Rochore,47.1%,MC Dec,1949
72,"AL-JUNIED, Syed Hassan",Progressive Party,CC 1953,East,33.5%,CC,1953
73,"ALHABSHI, Syed Haron A.",United Malays National Organisation,CC 1953,North,8.6%,CC,1953
74,"ALMENOAR, Syed Esa",United Malays National Organisation,CC 1953,East,15.1%,CC,1953
75,"ALMENOAR, Syed Esa",Singapore Alliance,GE 1963,Changi,17.6%,GE,1963
76,AMINUDDIN bin Ami,"Justice Party, Singapore",GE 1991,Marine Parade GRC,22.8%,GE,1991
77,AMIR ALI bin Mohamed,United National Front,GE 1972,Aljunied,4.2%,GE,1972
78,AMNAH binte Kuong Hussein,Pertubuhan Kebangsaan Melayu Singapura,GE 1976,Geylang Serai,23.6%,GE,1976
79,AMRIN bin Amin,People's Action Party,GE 2015,Sembawang GRC,72.3%,GE,2015
80,ANANG bin Haji A. Manan,Singapore Alliance,GE 1963,Ulu Pandan,15.5%,GE,1963
81,ANG Bee Lian,United People's Front,GE 1976,Kampong Glam,19.8%,GE,1976
82,ANG Bee Lian,United People's Front,GE 1980,Ang Mo Kio,18.0%,GE,1980
83,ANG Bee Lian,United People's Front,GE 1984,Ang Mo Kio,27.2%,GE,1984
84,ANG Bee Lian,United People's Front,GE 1988,Sembawang GRC,29.9%,GE,1988
85,ANG Hin Kee,People's Action Party,GE 2011,Ang Mo Kio GRC,69.3%,GE,2011
86,ANG Hin Kee,People's Action Party,GE 2015,Ang Mo Kio GRC,78.6%,GE,2015
87,ANG Kheng Kwan,United National Front,GE 1972,Ulu Pandan,28.2%,GE,1972
88,ANG Khye Chia,Liberal Socialist Party,CC 1957,Havelock,45.5%,CC,1957
89,ANG Kok Peng[4 Dec 1927 - 9 Oct 1997],People's Action Party,GE 1972,Crawford,72.6%,GE,1972
90,ANG Kok Peng[4 Dec 1927 - 9 Oct 1997],People's Action Party,GE 1976,Buona Vista,82.7%,GE,1976
91,ANG Kok Peng[4 Dec 1927 - 9 Oct 1997],People's Action Party,GE 1980,Buona Vista,Uncontested,GE,1980
92,ANG Kok Peng[4 Dec 1927 - 9 Oct 1997],People's Action Party,GE 1984,Buona Vista,Uncontested,GE,1984
93,ANG Meng Gee,Workers' Party,GE 1959,Stamford,8.5%,GE,1959
94,ANG Mong Seng,People's Action Party,GE 1997,Bukit Gombak,65.1%,GE,1997
95,ANG Mong Seng,People's Action Party,GE 2001,Hong Kah GRC,79.7%,GE,2001
96,ANG Mong Seng,People's Action Party,GE 2006,Hong Kah GRC,Uncontested,GE,2006
97,ANG Nam Piau,People's Action Party,BE 1967,Thomson,83.6%,BE,1967
98,ANG Nam Piau,People's Action Party,GE 1968,Thomson,Uncontested,GE,1968
99,ANG Nam Piau,People's Action Party,GE 1972,Thomson,72.6%,GE,1972
100,ANG Nam Piau,People's Action Party,GE 1976,Thomson,74.1%,GE,1976
101,ANG Wei Neng,People's Action Party,GE 2011,Jurong GRC,67.0%,GE,2011
102,ANG Wei Neng,People's Action Party,GE 2015,Jurong GRC,79.3%,GE,2015
103,ANG Yong Guan,Singapore Democratic Party,GE 2011,Holland-Bukit Timah GRC,39.9%,GE,2011
104,ANG Yong Guan,Singaporeans First,GE 2015,Tanjong Pagar GRC,22.3%,GE,2015
105,"APPAVOO, Kumar",Reform Party,GE 2011,West Coast GRC,33.4%,GE,2011
106,"APPAVOO, Kumar",Reform Party,GE 2015,Radin Mas,12.7%,GE,2015
107,"APPAVOO, Pakri",Singapore Alliance,GE 1963,Sembawang,13.5%,GE,1963
108,ARIFFIN bin Mohd Said,Independent,GE 1963,Tanglin,1.9%,GE,1963
109,ARIFFIN bin Noordin,Workers' Party,GE 1972,Siglap,17.4%,GE,1972
110,"ARMSTRONG, George Benjamin",Labour Front,CC 1957,Stamford,53.9%,CC,1957
111,"ARMSTRONG, George Benjamin",Workers' Party,GE 1984,Leng Kee,33.2%,GE,1984
112,ATIM bin Ismail,United People's Front,GE 1980,Kaki Bukit,7.4%,GE,1980
113,AVADAI DHANAMLakshimi-Devan Nair,People's Action Party,GE 1963,Moulmein,58.0%,GE,1963
114,BAEY Yam Keng,People's Action Party,GE 2006,Tanjong Pagar GRC,Uncontested,GE,2006
115,BAEY Yam Keng,People's Action Party,GE 2011,Tampines GRC,57.2%,GE,2011
116,BAEY Yam Keng,People's Action Party,GE 2015,Tampines GRC,72.1%,GE,2015
117,BAHARUDDIN bin Mohamed Ariff,People's Action Party,CC 1957,Crawford,67.0%,CC,1957
118,BAHARUDDIN bin Mohamed Ariff,People's Action Party,GE 1959,Anson,60.7%,GE,1959
119,BALAJI Sadasivan[11 Jul 1955 - 27 Sep 2010],People's Action Party,GE 2001,Ang Mo Kio GRC,Uncontested,GE,2001
120,BALAJI Sadasivan[11 Jul 1955 - 27 Sep 2010],People's Action Party,GE 2006,Ang Mo Kio GRC,66.1%,GE,2006
121,BALAKRISHNAN Ananthan,Workers' Party,GE 1976,Moulmein,23.5%,GE,1976
122,BALAKRISHNAN Ananthan,Workers' Party,GE 1984,Jalan Besar,35.6%,GE,1984
123,BALAKRISHNAN Ananthan,Workers' Party,GE 1988,Moulmein,33.9%,GE,1988
124,BALAKRISHNAN Ananthan,Workers' Party,GE 1991,Bedok GRC,38.0%,GE,1991
125,BALAKRISHNAN Ananthan,Workers' Party,GE 1997,Pasir Ris GRC,29.1%,GE,1997
126,BALWANT Singh Bajaj,Independent,BE 1948,Rural West,55.5%,BE,1948
127,BALWANT Singh Bajaj,Independent,GE 1951,City,42.2%,GE,1951
128,"BANI, S. Thendayatha",People's Action Party,GE 1959,Thomson,54.6%,GE,1959
129,"BANI, S. Thendayatha",Barisan Sosialis,GE 1963,Crawford,42.8%,GE,1963
130,"BAPTIST, Harry William",Independent,GE 1988,Serangoon Gardens,25.8%,GE,1988
131,"BAPTIST, Harry William",Independent,GE 1991,Chua Chu Kang,7.6%,GE,1991
132,"BAPTIST, Ivan Cuthbert",People's Action Party,GE 1972,Potong Pasir,66.2%,GE,1972
133,"BAPTIST, Ivan Cuthbert",People's Action Party,GE 1976,Potong Pasir,74.8%,GE,1976
134,"BARKER, Edmund William[1 Dec 1920 - 12 Apr 2001]",People's Action Party,GE 1963,Tanglin,51.1%,GE,1963
135,"BARKER, Edmund William[1 Dec 1920 - 12 Apr 2001]",People's Action Party,GE 1968,Tanglin,Uncontested,GE,1968
136,"BARKER, Edmund William[1 Dec 1920 - 12 Apr 2001]",People's Action Party,GE 1972,Tanglin,Uncontested,GE,1972
137,"BARKER, Edmund William[1 Dec 1920 - 12 Apr 2001]",People's Action Party,GE 1976,Tanglin,Uncontested,GE,1976
138,"BARKER, Edmund William[1 Dec 1920 - 12 Apr 2001]",People's Action Party,GE 1980,Tanglin,Uncontested,GE,1980
139,"BARKER, Edmund William[1 Dec 1920 - 12 Apr 2001]",People's Action Party,GE 1984,Tanglin,Uncontested,GE,1984
140,"BENG Kian Lam, Arthur",People's Action Party,GE 1984,Fengshan,65.1%,GE,1984
141,"BENG Kian Lam, Arthur",People's Action Party,GE 1988,Fengshan,57.9%,GE,1988
142,"BENG Kian Lam, Arthur",People's Action Party,GE 1991,Bedok GRC,62.0%,GE,1991
143,"BRAGA, Armand Joseph",Labour Front,GE 1955,Katong,45.7%,GE,1955
144,"BRASH, Murray Bruce",Democratic Party,GE 1955,Queenstown,17.7%,GE,1955
145,BUANG bin Omar Junid,People's Action Party,CC 1958,Kallang,52.0%,CC,1958
146,BUANG bin Omar Junid,People's Action Party,GE 1959,Kallang,48.2%,GE,1959
147,BUANG bin Omar Junid,People's Action Party,GE 1963,Kallang,52.2%,GE,1963
148,BUANG bin Omar Junid,People's Action Party,GE 1968,Whampoa,Uncontested,GE,1968
149,"BYRNE, Kenneth Michael[13 May 1913 - 14 May 1990]",People's Action Party,GE 1959,Crawford,66.6%,GE,1959
150,"BYRNE, Kenneth Michael[13 May 1913 - 14 May 1990]",People's Action Party,GE 1963,Crawford,40.9%,GE,1963
151,CHAI Chong Yii,People's Action Party,GE 1972,Bukit Batok,73.8%,GE,1972
152,CHAI Chong Yii,People's Action Party,GE 1976,Bukit Batok,84.6%,GE,1976
153,CHAI Chong Yii,People's Action Party,GE 1980,Bukit Batok,Uncontested,GE,1980
154,CHAI Chong Yii,People's Action Party,GE 1984,Bukit Batok,78.3%,GE,1984
155,CHAN Ah Wing,Liberal Socialist Party,GE 1959,Tanglin,5.0%,GE,1959
156,CHAN Chee Seng,People's Action Party,CC 1957,Jalan Besar,52.9%,CC,1957
157,CHAN Chee Seng,People's Action Party,GE 1959,Jalan Besar,62.5%,GE,1959
158,CHAN Chee Seng,People's Action Party,GE 1963,Jalan Besar,51.9%,GE,1963
159,CHAN Chee Seng,People's Action Party,GE 1968,Jalan Besar,Uncontested,GE,1968
160,CHAN Chee Seng,People's Action Party,GE 1972,Jalan Besar,83.9%,GE,1972
161,CHAN Chee Seng,People's Action Party,GE 1976,Jalan Besar,Uncontested,GE,1976
162,CHAN Chee Seng,People's Action Party,GE 1980,Jalan Besar,Uncontested,GE,1980
163,CHAN Chong Keen,Barisan Sosialis,GE 1963,Anson,37.0%,GE,1963
164,CHAN Choy Siong[1934 - 11 Feb 1981],People's Action Party,CC 1957,Kreta Ayer,86.8%,CC,1957
165,CHAN Choy Siong[1934 - 11 Feb 1981],People's Action Party,GE 1959,Delta,69.5%,GE,1959
166,CHAN Choy Siong[1934 - 11 Feb 1981],People's Action Party,GE 1963,Delta,40.5%,GE,1963
167,CHAN Choy Siong[1934 - 11 Feb 1981],People's Action Party,GE 1968,Delta,Uncontested,GE,1968
168,CHAN Chun Sing,People's Action Party,GE 2011,Tanjong Pagar GRC,Uncontested,GE,2011
169,CHAN Chun Sing,People's Action Party,GE 2015,Tanjong Pagar GRC,77.7%,GE,2015
170,CHAN Keng Sieng,Workers' Party,GE 1976,Chua Chu Kang,31.2%,GE,1976
171,CHAN Keng Sieng,Workers' Party,GE 1984,Chua Chu Kang,44.4%,GE,1984
172,CHAN Kooi Chew,Independent,GE 1959,Farrer Park,3.4%,GE,1959
173,CHAN Kum Chee,Progressive Party,MC 1950,South,34.2%,MC,1950
174,CHAN Kum Chee,Progressive Party,CC 1951,East,49.2%,CC,1951
175,"CHAN, Mike",Workers' Party,GE 1997,West Coast GRC,29.9%,GE,1997
176,"CHAN Sio Phing, Friedar",Workers' Party,GE 2011,Moulmein-Kallang GRC,41.4%,GE,2011
177,"CHAN Sio Phing, Friedar",Workers' Party,GE 2015,Jalan Besar GRC,32.3%,GE,2015
178,CHAN Soo Sen,People's Action Party,GE 1997,East Coast GRC,Uncontested,GE,1997
179,CHAN Soo Sen,People's Action Party,GE 2001,Joo Chiat,83.5%,GE,2001
180,CHAN Soo Sen,People's Action Party,GE 2006,Joo Chiat,65.0%,GE,2006
181,CHAN Sun Wing,People's Action Party,GE 1959,Upper Serangoon,45.1%,GE,1959
182,CHAN Sun Wing,Barisan Sosialis,GE 1963,Nee Soon,51.3%,GE,1963
183,CHAN Wah Chip,Democratic Party,GE 1955,Katong,25.4%,GE,1955
184,"CHAN Wei Ling, Cheryl",People's Action Party,GE 2015,Fengshan,57.5%,GE,2015
185,CHAN Yeng Cheong,National Solidarity Party,GE 1988,Tampines GRC,39.0%,GE,1988
186,CHAN Yoke Kwong (Robert),Independent,BE 1967,Thomson,4.8%,BE,1967
187,CHAN Yoke Kwong (Robert),United Front,GE 1976,Kallang,26.1%,GE,1976
188,CHANDRA DAS Rajagopal Sitaram,People's Action Party,GE 1980,Chong Boon,Uncontested,GE,1980
189,CHANDRA DAS Rajagopal Sitaram,People's Action Party,GE 1984,Chong Boon,56.0%,GE,1984
190,CHANDRA DAS Rajagopal Sitaram,People's Action Party,GE 1988,Cheng San GRC,Uncontested,GE,1988
191,CHANDRA DAS Rajagopal Sitaram,People's Action Party,GE 1991,Cheng San GRC,64.1%,GE,1991
192,CHANG Yueh Thong,Workers' Party,CC 1957,Kallang,41.5%,CC,1957
193,CHAU Sik Ting,People's Action Party,GE 1980,Thomson,Uncontested,GE,1980
194,CHAY Wai Chuen,People's Action Party,GE 1988,Brickworks GRC,67.4%,GE,1988
195,CHAY Wai Chuen,People's Action Party,GE 1991,Brickworks GRC,Uncontested,GE,1991
196,CHAY Wai Chuen,People's Action Party,GE 1997,Tanjong Pagar GRC,Uncontested,GE,1997
197,CHAY Wai Chuen,People's Action Party,GE 2001,Tanjong Pagar GRC,Uncontested,GE,2001
198,CHEAH Kim Bee,Independent,MC Apr 1949,South,7.5%,MC Apr,1949
199,CHEE Hong Tat,People's Action Party,GE 2015,Bishan-Toa Payoh GRC,73.6%,GE,2015
200,CHEE Phui Hung,Singapore People's Alliance,GE 1959,Queenstown,37.9%,GE,1959
201,CHEE Phui Hung,Singapore Alliance,BE 1961,Anson,17.8%,BE,1961
202,CHEE Siok Chin (Gina),Singapore Democratic Party,GE 2001,Jurong GRC,20.2%,GE,2001
203,CHEE Siok Chin (Gina),Singapore Democratic Party,GE 2006,Sembawang GRC,23.3%,GE,2006
204,CHEE Soon Juan,Singapore Democratic Party,BE 1992,Marine Parade GRC,24.5%,BE,1992
205,CHEE Soon Juan,Singapore Democratic Party,GE 1997,MacPherson,34.9%,GE,1997
206,CHEE Soon Juan,Singapore Democratic Party,GE 2001,Jurong GRC,20.2%,GE,2001
207,CHEE Soon Juan,Singapore Democratic Party,GE 2015,Holland-Bukit Timah GRC,33.4%,GE,2015
208,CHEE Soon Juan,Singapore Democratic Party,BE 2016,Bukit Batok,38.8%,BE,2016
209,CHEN Chia Kuang,United People's Party,GE 1963,Delta,16.7%,GE,1963
210,CHEN Jiaxi (Bernard),Workers' Party,GE 2015,MacPherson,33.6%,GE,2015
211,"CHEN Koon Lap, Kenneth",People's Action Party,GE 1988,Potong Pasir,36.9%,GE,1988
212,"CHEN Koon Lap, Kenneth",People's Action Party,GE 1991,Hong Kah GRC,Uncontested,GE,1991
213,"CHEN Koon Lap, Kenneth",People's Action Party,GE 1997,Hong Kah GRC,69.0%,GE,1997
214,"CHEN Min Liang, Peter",People's Action Party,GE 1997,Hong Kah GRC,69.0%,GE,1997
215,CHEN Poh Chang,Barisan Sosialis,GE 1963,Sembawang,40.4%,GE,1963
216,"CHEN Seow Phun, John",People's Action Party,GE 1988,Hong Kah GRC,Uncontested,GE,1988
217,"CHEN Seow Phun, John",People's Action Party,GE 1991,Hong Kah GRC,Uncontested,GE,1991
218,"CHEN Seow Phun, John",People's Action Party,GE 1997,Hong Kah GRC,69.0%,GE,1997
219,"CHEN Seow Phun, John",People's Action Party,GE 2001,Hong Kah GRC,79.7%,GE,2001
220,CHEN Show Mao,Workers' Party,GE 2011,Aljunied GRC,54.7%,GE,2011
221,CHEN Show Mao,Workers' Party,GE 2015,Aljunied GRC,51.0%,GE,2015
222,"CHEN Tien Lap, Bernard",People's Action Party,BE 1977,Radin Mas,70.6%,BE,1977
223,"CHEN Tien Lap, Bernard",People's Action Party,GE 1980,Clementi,85.4%,GE,1980
224,"CHEN Tien Lap, Bernard",People's Action Party,GE 1984,Clementi,Uncontested,GE,1984
225,"CHEN Tien Lap, Bernard",People's Action Party,GE 1988,Pasir Panjang GRC,61.6%,GE,1988
226,"CHEN Tien Lap, Bernard",People's Action Party,GE 1991,Brickworks GRC,Uncontested,GE,1991
227,"CHEN Tien Lap, Bernard",People's Action Party,GE 1997,West Coast GRC,70.1%,GE,1997
228,CHENG Li Hui,People's Action Party,GE 2015,Tampines GRC,72.1%,GE,2015
229,CHENG Poh Yew,Workers' Party,GE 1972,Moulmein,27.6%,GE,1972
230,CHEO Chai Chen,Singapore Democratic Party,GE 1988,Nee Soon Central,38.5%,GE,1988
231,CHEO Chai Chen,Singapore Democratic Party,GE 1991,Nee Soon Central,50.3%,GE,1991
232,CHEO Chai Chen,Singapore Democratic Party,GE 1997,Nee Soon Central,38.7%,GE,1997
233,CHEO Chai Chen,Singapore Democratic Party,GE 2001,Hong Kah GRC,20.3%,GE,2001
234,CHEO Chai Chen,Singapore Democratic Alliance,GE 2006,Jalan Besar GRC,30.7%,GE,2006
235,CHEO Chai Chen,National Solidarity Party,GE 2011,Marine Parade GRC,43.4%,GE,2011
236,CHEO Chai Chen,National Solidarity Party,GE 2015,MacPherson,0.8%,GE,2015
237,CHEONG Hock Chye,Independent,GE 1948,Rural East,45.1%,GE,1948
238,CHEONG Hock Chye,Progressive Party,BE 1948,Rural West,23.9%,BE,1948
239,CHEONG Min Chee,Workers' Party,CC 1957,Jalan Besar,10.9%,CC,1957
240,"CHEONG Yuen Chee, Eric",People's Action Party,GE 1968,Toa Payoh,Uncontested,GE,1968
241,"CHEONG Yuen Chee, Eric",People's Action Party,GE 1972,Toa Payoh,73.9%,GE,1972
242,"CHEONG Yuen Chee, Eric",People's Action Party,GE 1976,Toa Payoh,73.6%,GE,1976
243,"CHEONG Yuen Chee, Eric",People's Action Party,GE 1980,Toa Payoh,76.7%,GE,1980
244,"CHEONG Yuen Chee, Eric",People's Action Party,GE 1984,Toa Payoh,65.2%,GE,1984
245,CHETTY Rajah,United Front,GE 1976,Kolam Ayer,27.5%,GE,1976
246,CHEW Chin Han,People's Action Party,BE 1967,Tampines,Uncontested,BE,1967
247,"CHEW, David",Singapore Democratic Party,GE 1988,Paya Lebar,47.6%,GE,1988
248,"CHEW, David",Singapore Democratic Party,GE 1997,Jalan Besar GRC,32.4%,GE,1997
249,CHEW Heng Ching,People's Action Party,GE 1984,Kaki Bukit,52.2%,GE,1984
250,CHEW Heng Ching,People's Action Party,GE 1988,Eunos GRC,50.9%,GE,1988
251,CHEW Heng Ching,People's Action Party,GE 1991,Eunos GRC,52.4%,GE,1991
252,CHEW Heng Ching,People's Action Party,GE 1997,East Coast GRC,Uncontested,GE,1997
253,CHEW Heng Ching,People's Action Party,GE 2001,East Coast GRC,Uncontested,GE,2001
254,CHEW Seng,Singapore People's Alliance,GE 1959,Sembawang,13.7%,GE,1959
255,CHEW Swee Kee[15 May 1918 - 15 Dec 1985],Labour Front,GE 1955,Whampoa,45.9%,GE,1955
256,CHIA Ban Wei,Singapore People's Alliance,GE 1959,Kampong Kapor,32.5%,GE,1959
257,CHIA Ban Wei,Singapore Alliance,GE 1963,Kampong Kapor,9.8%,GE,1963
258,CHIA Chee Buang,Malayan Chinese Association,GE 1959,Delta,9.1%,GE,1959
259,"CHIA Kiah Hong, Steve",National Solidarity Party,GE 1997,Hong Kah GRC,31.0%,GE,1997
260,"CHIA Kiah Hong, Steve",Singapore Democratic Alliance,GE 2001,Chua Chu Kang,34.7%,GE,2001
261,"CHIA Kiah Hong, Steve",Singapore Democratic Alliance,GE 2006,Chua Chu Kang,39.6%,GE,2006
262,"CHIA Kiah Hong, Steve",National Solidarity Party,GE 2011,Pioneer,39.3%,GE,2011
263,CHIA Shi Lu,People's Action Party,GE 2011,Tanjong Pagar GRC,Uncontested,GE,2011
264,CHIA Shi Lu,People's Action Party,GE 2015,Tanjong Pagar GRC,77.7%,GE,2015
265,CHIA Shi Teck,Independent,GE 1997,Chua Chu Kang,14.1%,GE,1997
266,CHIA Thye Poh,Barisan Sosialis,GE 1963,Jurong,55.9%,GE,1963
267,CHIA Ti Lik,Workers' Party,GE 2006,East Coast GRC,36.1%,GE,2006
268,CHIA Yang Loong,Barisan Sosialis,GE 1963,Upper Serangoon,30.2%,GE,1963
269,CHIA Yeck Poh (Joachim),Liberal Socialist Party,GE 1959,Jurong,5.9%,GE,1959
270,CHIAM Pan Boon,Independent,GE 1988,Mountbatten,21.8%,GE,1988
271,CHIAM See Tong[12 Mar 1935 - ],Independent,GE 1976,Cairnhill,31.8%,GE,1976
272,CHIAM See Tong[12 Mar 1935 - ],Independent,BE 1979,Potong Pasir,33.2%,BE,1979
273,CHIAM See Tong[12 Mar 1935 - ],Singapore Democratic Party,GE 1980,Potong Pasir,41.0%,GE,1980
